Indeces of clusters	Elements of clusters
cluster_364	[[13,5],[12,5],[11,5],[13,6],]
cluster_365	[[13,6],[13,5],[12,5],[11,5],]
cluster_366	[[13,7],]
cluster_367	[[13,8],[12,8],[11,8],[10,8],[12,7],[13,9],[14,9],]
cluster_368	[[13,9],[14,9],[13,8],[12,8],[11,8],[10,8],[12,7],]
cluster_369	[[13,10],[14,10],]
cluster_370	[[13,11],]
cluster_371	[[13,12],[12,12],[12,11],[11,11],[10,11],[11,10],[12,10],]
cluster_372	[[13,13],[13,14],[13,15],[13,16],]
cluster_373	[[13,14],[13,15],[13,16],[13,13],]
cluster_374	[[13,15],[13,16],[13,14],[13,13],]
cluster_375	[[13,16],[13,15],[13,14],[13,13],]
cluster_376	[[13,17],]
cluster_377	[[13,18],]
cluster_378	[[13,19],[12,19],[12,18],[11,18],]
cluster_379	[[13,20],[12,20],]
cluster_380	[[13,21],]
cluster_381	[[13,22],]
cluster_382	[[13,23],]
cluster_383	[[13,24],[12,24],[12,25],[12,23],]
cluster_384	[[13,25],]
cluster_385	[[13,26],]
cluster_386	[[13,27],]
cluster_387	[[13,28],]
cluster_388	[[13,29],]
cluster_389	[[13,30],[14,30],[14,29],]
cluster_390	[[14,1],[15,1],[13,1],[14,2],[14,3],[13,3],[14,4],]
cluster_391	[[14,2],[14,3],[13,3],[14,4],[14,1],[15,1],[13,1],]
cluster_392	[[14,3],[13,3],[14,4],[14,2],[14,1],[15,1],[13,1],]
cluster_393	[[14,4],[14,3],[13,3],[14,2],[14,1],[15,1],[13,1],]
cluster_394	[[14,5],[14,6],[14,7],]
cluster_395	[[14,6],[14,7],[14,5],]
cluster_396	[[14,7],[14,6],[14,5],]
cluster_397	[[14,8],]
cluster_398	[[14,9],[13,9],[13,8],[12,8],[11,8],[10,8],[12,7],]
cluster_399	[[14,10],[13,10],]
cluster_400	[[14,11],]
cluster_401	[[14,12],]
cluster_402	[[14,13],[14,14],[15,14],]
cluster_403	[[14,14],[15,14],[14,13],]
cluster_404	[[14,15],]
cluster_405	[[14,16],[15,16],]
cluster_406	[[14,17],]
cluster_407	[[14,18],]
cluster_408	[[14,19],[15,19],[14,20],[14,21],]
cluster_409	[[14,20],[14,21],[14,19],[15,19],]
cluster_410	[[14,21],[14,20],[14,19],[15,19],]
cluster_411	[[14,22],]
cluster_412	[[14,23],[15,23],[14,24],]
cluster_413	[[14,24],[14,23],[15,23],]
cluster_414	[[14,25],]
cluster_415	[[14,26],]
cluster_416	[[14,27],[15,27],]
cluster_417	[[14,28],]
cluster_418	[[14,29],[14,30],[13,30],]
cluster_419	[[14,30],[13,30],[14,29],]
cluster_420	[[15,1],[14,1],[13,1],[14,2],[14,3],[13,3],[14,4],]
cluster_421	[[15,2],]
cluster_422	[[15,3],]
cluster_423	[[15,4],[16,4],[17,4],[17,5],[17,3],]
cluster_424	[[15,5],[16,5],[15,6],[15,7],]
cluster_425	[[15,6],[15,7],[15,5],[16,5],]
cluster_426	[[15,7],[15,6],[15,5],[16,5],]
cluster_427	[[15,8],]
cluster_428	[[15,9],[16,9],[16,10],]
cluster_429	[[15,10],[15,9],[16,9],]
cluster_430	[[15,11],[16,11],]
cluster_431	[[15,12],]
cluster_432	[[15,13],]
cluster_433	[[15,14],[14,14],[14,13],]
cluster_434	[[15,15],]
cluster_435	[[15,16],[14,16],]
cluster_436	[[15,17],]
cluster_437	[[15,18],]
cluster_438	[[15,19],[14,19],[14,20],[14,21],]
cluster_439	[[15,20],]
cluster_440	[[15,21],[16,21],]
cluster_441	[[15,22],]
cluster_442	[[15,23],[14,23],[14,24],]
cluster_443	[[15,24],]
cluster_444	[[15,25],]
cluster_445	[[15,26],]
cluster_446	[[15,27],[14,27],]
cluster_447	[[15,28],]
cluster_448	[[15,29],]
cluster_449	[[15,30],]
cluster_450	[[16,1],]
cluster_451	[[16,2],[16,3],]
cluster_452	[[16,3],[16,2],]
cluster_453	[[16,4],[17,4],[17,5],[17,3],[15,4],]
cluster_454	[[16,5],[15,5],[15,6],[15,7],]
cluster_455	[[16,6],[16,7],]
cluster_456	[[16,7],[16,6],]
cluster_457	[[16,8],]
cluster_458	[[16,9],[15,9],[15,10],]
cluster_459	[[16,10],[16,9],[15,9],]
cluster_460	[[16,11],[15,11],]
cluster_461	[[16,12],]
cluster_462	[[16,13],]
cluster_463	[[16,14],[16,15],[16,16],]
cluster_464	[[16,15],[16,16],[16,14],]
cluster_465	[[16,16],[16,15],[16,14],]
cluster_466	[[16,17],]
cluster_467	[[16,18],]
cluster_468	[[16,19],[16,20],[17,20],]
cluster_469	[[16,20],[17,20],[16,19],]
cluster_470	[[16,21],[15,21],]
cluster_471	[[16,22],[17,22],]
cluster_472	[[16,23],]
cluster_473	[[16,24],]
cluster_474	[[16,25],]
cluster_475	[[16,26],]
cluster_476	[[16,27],]
cluster_477	[[16,28],[16,29],[17,29],]
cluster_478	[[16,29],[17,29],[16,28],]
cluster_479	[[16,30],]
cluster_480	[[17,1],[18,1],]
cluster_481	[[17,2],]
cluster_482	[[17,3],[17,4],[16,4],[15,4],[17,5],]
cluster_483	[[17,4],[16,4],[15,4],[17,5],[17,3],]
cluster_484	[[17,5],[17,4],[16,4],[15,4],[17,3],]
cluster_485	[[17,6],]
cluster_486	[[17,7],]
cluster_487	[[17,8],]
cluster_488	[[17,9],]
cluster_489	[[17,10],[17,11],]
cluster_490	[[17,11],[17,10],]
cluster_491	[[17,12],]
cluster_492	[[17,13],]
cluster_493	[[17,14],]
cluster_494	[[17,15],[18,15],[19,15],[20,15],[17,16],]
cluster_495	[[17,16],[17,15],[18,15],[19,15],[20,15],]
cluster_496	[[17,17],[18,17],[18,16],]
cluster_497	[[17,18],]
cluster_498	[[17,19],]
cluster_499	[[17,20],[16,20],[16,19],]
cluster_500	[[17,21],]
cluster_501	[[17,22],[16,22],]
cluster_502	[[17,23],]
cluster_503	[[17,24],]
cluster_504	[[17,25],]
cluster_505	[[17,26],]
cluster_506	[[17,27],]
cluster_507	[[17,28],[18,28],]
cluster_508	[[17,29],[16,29],[16,28],]
cluster_509	[[17,30],]
cluster_510	[[18,1],[17,1],]
cluster_511	[[18,2],]
cluster_512	[[18,3],[18,4],]
cluster_513	[[18,4],[18,3],]
cluster_514	[[18,5],[19,5],[18,6],[18,7],]
cluster_515	[[18,6],[18,7],[18,5],[19,5],]
cluster_516	[[18,7],[18,6],[18,5],[19,5],]
cluster_517	[[18,8],]
cluster_518	[[18,9],[18,10],]
cluster_519	[[18,10],[18,9],]
cluster_520	[[18,11],]
cluster_521	[[18,12],]
cluster_522	[[18,13],[18,14],[19,14],]
cluster_523	[[18,14],[19,14],[18,13],]
cluster_524	[[18,15],[19,15],[20,15],[17,15],[17,16],]
cluster_525	[[18,16],[18,17],[17,17],]
cluster_526	[[18,17],[17,17],[18,16],]
cluster_527	[[18,18],]
cluster_528	[[18,19],]
cluster_529	[[18,20],[19,20],]
cluster_530	[[18,21],]
cluster_531	[[18,22],]
cluster_532	[[18,23],]
cluster_533	[[18,24],[19,24],]
cluster_534	[[18,25],[19,25],]
cluster_535	[[18,26],]
cluster_536	[[18,27],]
cluster_537	[[18,28],[17,28],]
cluster_538	[[18,29],]
cluster_539	[[18,30],]
cluster_540	[[19,1],]
cluster_541	[[19,2],]
cluster_542	[[19,3],]
cluster_543	[[19,4],[20,4],[21,4],]
cluster_544	[[19,5],[18,5],[18,6],[18,7],]
cluster_545	[[19,6],]
cluster_546	[[19,7],[20,7],]
cluster_547	[[19,8],]
cluster_548	[[19,9],]
cluster_549	[[19,10],]
cluster_550	[[19,11],]
cluster_551	[[19,12],[20,12],[20,11],]
cluster_552	[[19,13],]
cluster_553	[[19,14],[18,14],[18,13],]
cluster_554	[[19,15],[20,15],[18,15],[17,15],[17,16],]
cluster_555	[[19,16],]
cluster_556	[[19,17],]
cluster_557	[[19,18],]
cluster_558	[[19,19],[20,19],]
cluster_559	[[19,20],[18,20],]
cluster_560	[[19,21],[19,22],[20,22],[19,23],]
cluster_561	[[19,22],[20,22],[19,23],[19,21],]
cluster_562	[[19,23],[19,22],[20,22],[19,21],]
cluster_563	[[19,24],[18,24],]
cluster_564	[[19,25],[18,25],]
cluster_565	[[19,26],[19,27],[20,27],]
cluster_566	[[19,27],[20,27],[19,26],]
cluster_567	[[19,28],]
cluster_568	[[19,29],]
cluster_569	[[19,30],]
cluster_570	[[20,1],]
cluster_571	[[20,2],[20,3],]
cluster_572	[[20,3],[20,2],]
cluster_573	[[20,4],[21,4],[19,4],]
cluster_574	[[20,5],]
cluster_575	[[20,6],]
cluster_576	[[20,7],[19,7],]
cluster_577	[[20,8],]
cluster_578	[[20,9],]
cluster_579	[[20,10],]
cluster_580	[[20,11],[20,12],[19,12],]
cluster_581	[[20,12],[19,12],[20,11],]
cluster_582	[[20,13],]
cluster_583	[[20,14],[21,14],[21,13],[21,12],[21,11],]
cluster_584	[[20,15],[19,15],[18,15],[17,15],[17,16],]
cluster_585	[[20,16],[20,17],[20,18],]
cluster_586	[[20,17],[20,18],[20,16],]
cluster_587	[[20,18],[20,17],[20,16],]
cluster_588	[[20,19],[19,19],]
cluster_589	[[20,20],[21,20],]
cluster_590	[[20,21],]
cluster_591	[[20,22],[19,22],[19,23],[19,21],]
cluster_592	[[20,23],]
cluster_593	[[20,24],[20,25],[21,25],]
cluster_594	[[20,25],[21,25],[20,24],]
cluster_595	[[20,26],]
cluster_596	[[20,27],[19,27],[19,26],]
cluster_597	[[20,28],]
cluster_598	[[20,29],[21,29],[21,30],]
cluster_599	[[20,30],]
cluster_600	[[21,1],]
cluster_601	[[21,2],[21,3],]
cluster_602	[[21,3],[21,2],]
cluster_603	[[21,4],[20,4],[19,4],]
cluster_604	[[21,5],]
cluster_605	[[21,6],]
cluster_606	[[21,7],]
cluster_607	[[21,8],[22,8],[23,8],[22,9],[22,10],[21,10],[22,11],]
cluster_608	[[21,9],]
cluster_609	[[21,10],[22,10],[22,11],[22,9],[22,8],[23,8],[21,8],]
cluster_610	[[21,11],[21,12],[21,13],[21,14],[20,14],]
cluster_611	[[21,12],[21,13],[21,14],[20,14],[21,11],]
cluster_612	[[21,13],[21,14],[20,14],[21,12],[21,11],]
cluster_613	[[21,14],[20,14],[21,13],[21,12],[21,11],]
cluster_614	[[21,15],]
cluster_615	[[21,16],]
cluster_616	[[21,17],]
cluster_617	[[21,18],]
cluster_618	[[21,19],]
cluster_619	[[21,20],[20,20],]
cluster_620	[[21,21],[22,21],]
cluster_621	[[21,22],]
cluster_622	[[21,23],]
cluster_623	[[21,24],]
cluster_624	[[21,25],[20,25],[20,24],]
cluster_625	[[21,26],]
cluster_626	[[21,27],]
cluster_627	[[21,28],[22,28],[22,29],[22,30],[22,27],]
cluster_628	[[21,29],[20,29],[21,30],]
cluster_629	[[21,30],[21,29],[20,29],]
cluster_630	[[22,1],[23,1],]
cluster_631	[[22,2],]
cluster_632	[[22,3],]
cluster_633	[[22,4],]
cluster_634	[[22,5],[22,6],]
cluster_635	[[22,6],[22,5],]
cluster_636	[[22,7],]
cluster_637	[[22,8],[23,8],[21,8],[22,9],[22,10],[21,10],[22,11],]
cluster_638	[[22,9],[22,10],[21,10],[22,11],[22,8],[23,8],[21,8],]
cluster_639	[[22,10],[21,10],[22,11],[22,9],[22,8],[23,8],[21,8],]
cluster_640	[[22,11],[22,10],[21,10],[22,9],[22,8],[23,8],[21,8],]
cluster_641	[[22,12],]
cluster_642	[[22,13],]
cluster_643	[[22,14],]
cluster_644	[[22,15],[22,16],]
cluster_645	[[22,16],[22,15],]
cluster_646	[[22,17],]
cluster_647	[[22,18],]
cluster_648	[[22,19],]
cluster_649	[[22,20],]
cluster_650	[[22,21],[21,21],]
cluster_651	[[22,22],[23,22],]
cluster_652	[[22,23],]
